session_path,activity,phone_model,sampling_rate_hz,duration_sec,num_samples
Recordings\Still\2025-10-24_14-05-52,Still,Samsung A23,52.85,14.6,772
Recordings\Still\2025-10-24_14-06-22,Still,Samsung A23,52.85,14.1,747
Recordings\Still\2025-10-24_14-08-12,Still,Samsung A23,52.85,13.8,728
Recordings\Still\2025-10-24_14-08-30,Still,Samsung A23,52.85,14.8,781
Recordings\Still\2025-10-24_14-08-48,Still,Samsung A23,52.85,14.0,739
Recordings\Still\2025-10-24_14-09-05,Still,Samsung A23,52.85,12.8,675
Recordings\Still\2025-10-24_14-09-21,Still,Samsung A23,52.85,14.4,763
Recordings\Still\2025-10-24_14-09-45,Still,Samsung A23,52.85,15.0,794
Recordings\Still\2025-10-24_14-10-02,Still,Samsung A23,52.85,14.3,756
Recordings\Still\2025-10-24_14-10-28,Still,Samsung A23,52.85,13.5,714
Recordings\Still\Session_still_A,Still,Samsung A23,59.56,13.8,822
Recordings\Still\Session_still_B,Still,Samsung A23,59.56,14.0,833
Recordings\Standing\2025-10-24_14-14-41,Standing,Samsung A23,52.85,14.4,762
Recordings\Standing\2025-10-24_14-14-59,Standing,Samsung A23,52.85,13.5,716
Recordings\Standing\2025-10-24_14-15-16,Standing,Samsung A23,52.85,13.7,725
Recordings\Standing\2025-10-24_14-15-32,Standing,Samsung A23,52.85,13.6,721
Recordings\Standing\2025-10-24_14-15-48,Standing,Samsung A23,52.85,14.3,755
Recordings\Standing\2025-10-24_14-16-05,Standing,Samsung A23,52.85,14.1,747
Recordings\Standing\2025-10-24_14-16-22,Standing,Samsung A23,52.85,14.4,760
Recordings\Standing\2025-10-24_14-16-38,Standing,Samsung A23,52.85,14.0,743
Recordings\Standing\2025-10-24_14-16-54,Standing,Samsung A23,52.85,13.8,732
Recordings\Standing\2025-10-24_14-17-10,Standing,Samsung A23,52.85,15.2,804
Recordings\Standing\Session_standing_A,Standing,Samsung A23,59.56,13.6,812
Recordings\Standing\Session_standing_B,Standing,Samsung A23,59.56,14.0,837
Recordings\Walking\2025-10-24_14-29-59,Walking,Samsung A23,52.85,12.2,645
Recordings\Walking\2025-10-24_14-30-21,Walking,Samsung A23,52.85,14.1,744
Recordings\Walking\2025-10-24_14-30-39,Walking,Samsung A23,52.85,12.8,675
Recordings\Walking\2025-10-24_14-30-57,Walking,Samsung A23,52.85,13.0,688
Recordings\Walking\2025-10-24_14-31-13,Walking,Samsung A23,52.85,14.1,744
Recordings\Walking\2025-10-24_14-31-30,Walking,Samsung A23,52.85,13.4,711
Recordings\Walking\2025-10-24_14-31-50,Walking,Samsung A23,52.85,13.1,691
Recordings\Walking\2025-10-24_14-32-08,Walking,Samsung A23,52.85,13.5,713
Recordings\Walking\2025-10-24_14-32-24,Walking,Samsung A23,52.85,12.1,639
Recordings\Walking\2025-10-24_14-32-40,Walking,Samsung A23,52.85,11.6,616
Recordings\Walking\2025-10-24_14-34-25,Walking,Samsung A23,52.85,12.8,676
Recordings\Walking\2025-10-24_14-34-43,Walking,Samsung A23,52.85,12.5,662
Recordings\Jumping\2025-10-24_14-20-11,Jumping,Samsung A23,52.85,14.1,746
Recordings\Jumping\2025-10-24_14-21-06,Jumping,Samsung A23,52.85,17.5,921
Recordings\Jumping\2025-10-24_14-21-31,Jumping,Samsung A23,52.85,15.5,820
Recordings\Jumping\2025-10-24_14-22-01,Jumping,Samsung A23,52.85,14.9,789
Recordings\Jumping\2025-10-24_14-22-25,Jumping,Samsung A23,52.85,14.8,784
Recordings\Jumping\2025-10-24_14-22-54,Jumping,Samsung A23,52.85,17.1,899
Recordings\Jumping\2025-10-24_14-23-18,Jumping,Samsung A23,52.85,14.9,789
Recordings\Jumping\2025-10-24_14-24-02,Jumping,Samsung A23,52.85,18.5,978
Recordings\Jumping\2025-10-24_14-24-36,Jumping,Samsung A23,52.85,15.6,823
Recordings\Jumping\2025-10-24_14-25-32,Jumping,Samsung A23,52.85,14.2,753
Recordings\Jumping\Session_jumping_A,Jumping,Samsung A23,59.56,14.4,855
Recordings\Jumping\Session_Jumping_B,Jumping,Samsung A23,59.56,18.6,1109
Recordings\Still\2025-10-24_14-05-52,Still,Samsung A23,52.85,14.6,772
Recordings\Still\2025-10-24_14-06-22,Still,Samsung A23,52.85,14.1,747
Recordings\Still\2025-10-24_14-08-12,Still,Samsung A23,52.85,13.8,728
Recordings\Still\2025-10-24_14-08-30,Still,Samsung A23,52.85,14.8,781
Recordings\Still\2025-10-24_14-08-48,Still,Samsung A23,52.85,14.0,739
Recordings\Still\2025-10-24_14-09-05,Still,Samsung A23,52.85,12.8,675
Recordings\Still\2025-10-24_14-09-21,Still,Samsung A23,52.85,14.4,763
Recordings\Still\2025-10-24_14-09-45,Still,Samsung A23,52.85,15.0,794
Recordings\Still\2025-10-24_14-10-02,Still,Samsung A23,52.85,14.3,756
